common,page,actions,displays,start,err,ts,dt
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""1710"",""item"":null,""item_type"":null,""last_page_id"":""home"",""page_id"":""search"",""source_type"":null}",,,,,1592103477000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""12944"",""item"":""小米盒子"",""item_type"":""keyword"",""last_page_id"":""search"",""page_id"":""good_list"",""source_type"":null}",,"[{""display_type"":""promotion"",""item"":""21"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""3""},{""display_type"":""query"",""item"":""3"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""5""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""9"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""13"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""4""},{""display_type"":""query"",""item"":""6"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""5""},{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""2""}]",,,1592103478000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""17524"",""item"":""21"",""item_type"":""sku_id"",""last_page_id"":""good_list"",""page_id"":""good_detail"",""source_type"":""query""}","[{""action_id"":""favor_add"",""item"":""21"",""item_type"":""sku_id"",""ts"":1592103484841},{""action_id"":""get_coupon"",""item"":""3"",""item_type"":""coupon_id"",""ts"":1592103490682}]","[{""display_type"":""query"",""item"":""20"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""3""},{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""query"",""item"":""18"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""21"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""10"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""recommend"",""item"":""30"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""4""},{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""3""},{""display_type"":""query"",""item"":""18"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""30"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""2""},{""display_type"":""recommend"",""item"":""11"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""4""}]",,,1592103479000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""8592"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""login"",""source_type"":null}",,,,,1592103480000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""12198"",""item"":""1"",""item_type"":""sku_id"",""last_page_id"":""login"",""page_id"":""good_detail"",""source_type"":""query""}",,"[{""display_type"":""query"",""item"":""31"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""recommend"",""item"":""13"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""19"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""3""},{""display_type"":""query"",""item"":""29"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""25"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""2""}]",,,1592103481000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""6928"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""cart"",""source_type"":null}",,,,,1592103482000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""17165"",""item"":""28"",""item_type"":""sku_ids"",""last_page_id"":""cart"",""page_id"":""trade"",""source_type"":null}",,,,,1592103483000,2020-06-14
"{""ar"":""310000"",""ba"":""iPhone"",""ch"":""Appstore"",""is_new"":""1"",""md"":""iPhone X"",""mid"":""mid_512296"",""os"":""iOS 13.2.9"",""uid"":""517"",""vc"":""v2.1.134""}","{""during_time"":""7498"",""item"":""26,30"",""item_type"":""sku_ids"",""last_page_id"":""trade"",""page_id"":""payment"",""source_type"":null}",,,,,1592103484000,2020-06-14
"{""ar"":""310000"",""ba"":""vivo"",""ch"":""xiaomi"",""is_new"":""0"",""md"":""vivo iqoo3"",""mid"":""mid_258696"",""os"":""Android 11.0"",""uid"":""513"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":15686,""open_ad_id"":6,""open_ad_ms"":2579,""open_ad_skip_ms"":1991}",,1592103476000,2020-06-14
"{""ar"":""310000"",""ba"":""vivo"",""ch"":""xiaomi"",""is_new"":""0"",""md"":""vivo iqoo3"",""mid"":""mid_258696"",""os"":""Android 11.0"",""uid"":""513"",""vc"":""v2.1.134""}","{""during_time"":""16195"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""21"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""1""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""13"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""query"",""item"":""26"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""29"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""3""},{""display_type"":""query"",""item"":""2"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""35"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""9"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""5""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""11"",""pos_id"":""5""}]",,,1592103476000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":1490,""open_ad_id"":5,""open_ad_ms"":1577,""open_ad_skip_ms"":1573}",,1592103476000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""13297"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""3""},{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""2""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""query"",""item"":""35"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""1""},{""display_type"":""query"",""item"":""19"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""4""},{""display_type"":""recommend"",""item"":""3"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""3""},{""display_type"":""query"",""item"":""33"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""4""},{""display_type"":""query"",""item"":""31"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""2"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""5""}]",,,1592103476000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""17167"",""item"":null,""item_type"":null,""last_page_id"":""home"",""page_id"":""search"",""source_type"":null}",,,,,1592103477000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""17294"",""item"":""ps5"",""item_type"":""keyword"",""last_page_id"":""search"",""page_id"":""good_list"",""source_type"":null}",,"[{""display_type"":""query"",""item"":""6"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""5""},{""display_type"":""query"",""item"":""3"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""query"",""item"":""20"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""29"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""24"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""1""}]",,,1592103478000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""16644"",""item"":""23"",""item_type"":""sku_id"",""last_page_id"":""good_list"",""page_id"":""good_detail"",""source_type"":""recommend""}","[{""action_id"":""get_coupon"",""item"":""2"",""item_type"":""coupon_id"",""ts"":1592103487322}]","[{""display_type"":""promotion"",""item"":""4"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""5""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""14"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""11"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""3""},{""display_type"":""query"",""item"":""35"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""2""}]",,,1592103479000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""9738"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""login"",""source_type"":null}",,,,,1592103480000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""11049"",""item"":null,""item_type"":null,""last_page_id"":""login"",""page_id"":""register"",""source_type"":null}",,,,,1592103481000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""16662"",""item"":""22"",""item_type"":""sku_id"",""last_page_id"":""register"",""page_id"":""good_detail"",""source_type"":""recommend""}","[{""action_id"":""get_coupon"",""item"":""3"",""item_type"":""coupon_id"",""ts"":1592103490331}]","[{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""9"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""33"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""25"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""30"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""1""},{""display_type"":""query"",""item"":""4"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""query"",""item"":""15"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""3""},{""display_type"":""query"",""item"":""14"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""5""},{""display_type"":""query"",""item"":""13"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""3""}]",,,1592103482000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""18702"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""cart"",""source_type"":null}",,,,,1592103483000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""6678"",""item"":""32,16"",""item_type"":""sku_ids"",""last_page_id"":""cart"",""page_id"":""trade"",""source_type"":null}",,,,,1592103484000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi 9"",""mid"":""mid_556385"",""os"":""Android 11.0"",""uid"":""576"",""vc"":""v2.1.134""}","{""during_time"":""10341"",""item"":""5,27"",""item_type"":""sku_ids"",""last_page_id"":""trade"",""page_id"":""payment"",""source_type"":null}",,,,,1592103485000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":12156,""open_ad_id"":2,""open_ad_ms"":7099,""open_ad_skip_ms"":0}",,1592103476000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}","{""during_time"":""15032"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""29"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""17"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""query"",""item"":""32"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""20"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""4""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""3""},{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""5""}]",,,1592103476000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}","{""during_time"":""7729"",""item"":""小米盒子"",""item_type"":""keyword"",""last_page_id"":""home"",""page_id"":""good_list"",""source_type"":null}",,"[{""display_type"":""query"",""item"":""33"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""recommend"",""item"":""1"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""34"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""23"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""27"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""7"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""5""},{""display_type"":""query"",""item"":""34"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""4""}]",,,1592103477000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}","{""during_time"":""1275"",""item"":""16"",""item_type"":""sku_id"",""last_page_id"":""good_list"",""page_id"":""good_detail"",""source_type"":""promotion""}","[{""action_id"":""get_coupon"",""item"":""3"",""item_type"":""coupon_id"",""ts"":1592103478637}]","[{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""2""},{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""2""},{""display_type"":""query"",""item"":""2"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""5""},{""display_type"":""recommend"",""item"":""2"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""4""},{""display_type"":""query"",""item"":""30"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""3""},{""display_type"":""query"",""item"":""1"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""1""},{""display_type"":""query"",""item"":""31"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""4""},{""display_type"":""query"",""item"":""20"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""5""}]",,,1592103478000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}","{""during_time"":""8317"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""cart"",""source_type"":null}",,,,,1592103479000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}","{""during_time"":""3436"",""item"":""20"",""item_type"":""sku_ids"",""last_page_id"":""cart"",""page_id"":""trade"",""source_type"":null}",,,,,1592103480000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""oppo"",""is_new"":""0"",""md"":""Huawei P30"",""mid"":""mid_532540"",""os"":""Android 11.0"",""uid"":""449"",""vc"":""v2.1.134""}","{""during_time"":""10451"",""item"":""32,14"",""item_type"":""sku_ids"",""last_page_id"":""trade"",""page_id"":""payment"",""source_type"":null}",,,,,1592103481000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":10934,""open_ad_id"":7,""open_ad_ms"":7831,""open_ad_skip_ms"":7828}",,1592103476000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""13903"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""3""},{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""promotion"",""item"":""24"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""query"",""item"":""35"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""7"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""1""},{""display_type"":""recommend"",""item"":""19"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""5""}]",,,1592103476000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""2925"",""item"":null,""item_type"":null,""last_page_id"":""home"",""page_id"":""mine"",""source_type"":null}",,,,,1592103477000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""5845"",""item"":null,""item_type"":null,""last_page_id"":""mine"",""page_id"":""orders_unpaid"",""source_type"":null}",,,,,1592103478000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""10949"",""item"":""29"",""item_type"":""sku_id"",""last_page_id"":""orders_unpaid"",""page_id"":""good_detail"",""source_type"":""activity""}","[{""action_id"":""favor_add"",""item"":""29"",""item_type"":""sku_id"",""ts"":1592103481737},{""action_id"":""cart_add"",""item"":""29"",""item_type"":""sku_id"",""ts"":1592103484474},{""action_id"":""get_coupon"",""item"":""2"",""item_type"":""coupon_id"",""ts"":1592103487211}]","[{""display_type"":""promotion"",""item"":""34"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""5""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""query"",""item"":""31"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""2""},{""display_type"":""query"",""item"":""20"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""query"",""item"":""24"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""4""},{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""3""},{""display_type"":""recommend"",""item"":""6"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""5""}]",,,1592103479000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""1232"",""item"":""26"",""item_type"":""sku_id"",""last_page_id"":""good_detail"",""page_id"":""good_spec"",""source_type"":""query""}",,"[{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""query"",""item"":""33"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""15"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""12"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""query"",""item"":""32"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""query"",""item"":""21"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""4""}]",,,1592103480000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""14202"",""item"":""11"",""item_type"":""sku_id"",""last_page_id"":""good_spec"",""page_id"":""comment"",""source_type"":""activity""}",,,,,1592103481000,2020-06-14
"{""ar"":""310000"",""ba"":""Xiaomi"",""ch"":""wandoujia"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_645338"",""os"":""Android 10.0"",""uid"":""800"",""vc"":""v2.1.134""}","{""during_time"":""10310"",""item"":null,""item_type"":null,""last_page_id"":""comment"",""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""activity"",""item"":""2"",""item_type"":""activity_id"",""order"":""2"",""pos_id"":""4""},{""display_type"":""recommend"",""item"":""1"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""query"",""item"":""19"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""3""},{""display_type"":""query"",""item"":""10"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""query"",""item"":""32"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""5""},{""display_type"":""query"",""item"":""13"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""2""},{""display_type"":""query"",""item"":""1"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""3""},{""display_type"":""recommend"",""item"":""30"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""5""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""4""}]",,,1592103482000,2020-06-14
"{""ar"":""440000"",""ba"":""Huawei"",""ch"":""xiaomi"",""is_new"":""0"",""md"":""Huawei Mate 30"",""mid"":""mid_203553"",""os"":""Android 11.0"",""uid"":""364"",""vc"":""v2.1.134""}",,,,"{""entry"":""notice"",""loading_time"":11189,""open_ad_id"":15,""open_ad_ms"":4198,""open_ad_skip_ms"":4128}",,1592103477000,2020-06-14
